source,target,producer_overlap,same_branch,historical_share_corr,lag1_directed_corr,combined_strength,combined_signed
26259,7965,0.0,1.0,-0.29984799311132315,-0.3295638435482303,0.28995439793339695,-0.06119929325348433
7965,26259,0.0,1.0,-0.29984799311132315,0.3563561444356673,0.28995439793339695,-0.053367843425214986
26293,7579,0.06010025069647601,1.0,-0.193551534052636,0.12773419104630343,0.28811558556402883,-0.04808867155724765
7579,26293,0.06010025069647601,1.0,-0.193551534052636,0.05401350174656189,0.28811558556402883,-0.07222381705635086
16210,26257,0.07580883617970267,1.0,-0.1615929393510963,0.22402805968802894,0.28638229989518027,-0.05379449803088802
26257,16210,0.07580883617970267,1.0,-0.1615929393510963,-0.05998363782885651,0.28638229989518027,-0.0469857546721793
15150Д,7965,0.0,1.0,0.2869914773312056,-0.06642813867300212,0.2860974431993617,0.0450998276687417
7965,15150Д,0.0,1.0,0.2869914773312056,0.2080380321181537,0.2860974431993617,0.0526579478077965
26259,26256,0.0,1.0,0.2842716942808634,-0.060327867712841834,0.285281508284259,0.06021300869971649
26256,26259,0.0,1.0,0.2842716942808634,-0.49824938130603563,0.285281508284259,0.0411085857069135
26233,16228,0.0,0.0,0.947928871356585,0.3773016017087819,0.2843786614069755,0.05092854370512921
16228,26233,0.0,0.0,0.947928871356585,-0.030171202889176334,0.2843786614069755,0.037817514338272
26220,15150,0.0,1.0,0.28043105061561496,-0.3165959972047105,0.2841293151846845,0.042816760843091606
15150,26220,0.0,1.0,0.28043105061561496,-0.1287623146859555,0.2841293151846845,0.047685339247566
26257,16186,0.0,1.0,0.27641421066548,-0.12904086832276393,0.28292426319964403,0.04641840653689536
16186,26257,0.0,1.0,0.27641421066548,0.5544273290921721,0.28292426319964403,0.061719328963286316
16259,26203,0.0,1.0,0.2645021189689318,-0.3498639829473446,0.2793506356906795,0.09997936729844392
26203,16259,0.0,1.0,0.2645021189689318,-0.18681721138201834,0.2793506356906795,0.049936413883700605
26218,16228,0.0,0.0,0.9305237870466601,-0.44261589949728,0.279157136113998,0.046308851193537906
16228,26218,0.0,0.0,0.9305237870466601,0.17627447821747927,0.279157136113998,0.03712314048244942
16228,26259,0.06851789985690454,1.0,-0.1484609049812743,-0.026098031931639464,0.2787972214228346,-0.03707527796376997
26259,16228,0.06851789985690454,1.0,-0.1484609049812743,0.44938789144151353,0.2787972214228346,-0.05884440116694445
26228,15150Д,0.0,1.0,-0.25896135324023356,-0.006863352202874731,0.27768840597207006,-0.0633105758460911
15150Д,26228,0.0,1.0,-0.25896135324023356,0.43554755104124365,0.27768840597207006,-0.043774243890117664
16228,7516Д,0.2693248962297799,0.0,0.4687330470656651,-0.3216979125535583,0.27528236223458946,0.03660786160738506
7516Д,16228,0.2693248962297799,0.0,0.4687330470656651,-0.03670101121478369,0.27528236223458946,0.055759474680769396
